DATE,TEMPERATURE,HUMIDITY,PRECIPITATION,INSOLATION,LENGTH
2023-09-29,22.0,73.6,0,11.35,46.64
2023-09-30,20.6,75.4,11.5,15.06,47.0
2023-10-01,18.7,61.4,0.2,14.39,47.32
2023-10-02,18.5,52.1,0,15.0,47.43
2023-10-03,19.1,59.6,0,10.51,47.54
2023-10-04,20.7,63.5,0,17.7,47.91
2023-10-05,15.8,58.6,1.3,13.44,48.12
2023-10-06,17.0,58.9,0,15.66,48.23
2023-10-07,16.8,64.1,0,9.93,48.34
2023-10-08,16.6,69.1,0,10.47,48.56
2023-10-09,18.1,68.9,0.0,13.22,48.78
2023-10-10,16.8,76.9,10.4,15.01,48.99
2023-10-11,17.1,57.1,0,16.2,49.1
2023-10-12,17.4,61.4,0,17.04,49.32
2023-10-13,18.2,67.1,0,15.32,49.54
2023-10-14,17.2,78.3,6.1,8.49,49.64
2023-10-15,16.6,72.6,9.0,13.25,49.85
2023-10-16,16.0,75.9,0.2,11.02,50.06
2023-10-17,17.3,78.8,0,12.2,50.17
2023-10-18,19.0,69.5,0,15.06,50.39
2023-10-19,18.6,65.4,3.0,4.39,50.6
2023-10-20,12.4,70.3,18.5,7.98,50.7
2023-10-21,11.4,54.9,0.1,9.64,50.8
2023-10-22,15.1,55.0,0,15.82,50.91
2023-10-23,16.9,61.5,0,13.35,51.13
2023-10-24,17.2,62.9,0,13.19,51.35
2023-10-25,17.8,64.6,0,13.26,51.57
2023-10-26,18.4,67.9,0.0,13.33,51.79
2023-10-27,14.5,75.9,0.3,5.72,51.89
2023-10-28,13.3,62.5,0,10.6,52.11
2023-10-29,12.7,65.1,0,14.45,52.33
2023-10-30,16.3,70.8,0,13.48,52.44
2023-10-31,18.3,70.4,0,12.72,52.55
2023-11-01,19.7,62.5,0,11.26,52.77
2023-11-02,21.4,63.6,0,12.28,53.14
2023-11-03,20.6,71.5,0.0,13.26,53.4
2023-11-04,16.1,93.1,1.5,0.82,53.5
2023-11-05,18.6,96.3,3.2,1.75,53.6
2023-11-06,18.3,75.5,1.5,1.69,53.7
2023-11-07,11.6,57.3,0,13.31,53.81
